prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious
101.44.212.0,1,4.0,4,4,1,False
101.55.21.0,1,4.0,4,4,1,False
101.55.67.0,1,7.0,7,7,1,False
101.55.82.0,1,7.0,7,7,1,False
101.76.0.0,1,7.0,7,7,1,False
101.76.192.0,2,7.0,7,7,1,False
101.96.32.0,1,4.0,4,4,1,False
101.97.0.0,1,5.0,5,5,1,False
101.99.9.0,3,4.0,5,3,1,False
102.128.0.0,1,5.0,5,5,1,False
102.130.106.0,4203,3.2652866999762074,6,2,1,True
102.134.32.0,1,4.0,4,4,1,False
102.134.58.0,1,4.0,4,4,1,False
102.140.192.0,1,4.0,4,4,1,False
102.140.193.0,1,4.0,4,4,1,False
102.140.194.0,1,4.0,4,4,1,False
102.140.196.0,1,4.0,4,4,1,False
102.140.197.0,1,4.0,4,4,1,False
102.140.198.0,1,4.0,4,4,1,False
102.140.200.0,1,4.0,4,4,1,False
102.140.202.0,1,4.0,4,4,1,False
102.140.204.0,1,4.0,4,4,1,False
102.140.206.0,1,4.0,4,4,1,False
102.140.210.0,1,4.0,4,4,1,False
102.140.213.0,1,4.0,4,4,1,False
102.140.214.0,1,4.0,4,4,1,False
102.140.216.0,1,4.0,4,4,1,False
102.140.217.0,1,4.0,4,4,1,False
102.140.218.0,1,4.0,4,4,1,False
102.140.219.0,1,4.0,4,4,1,False
102.140.220.0,1,4.0,4,4,1,False
102.140.222.0,1,4.0,4,4,1,False
102.140.224.0,1,4.0,4,4,1,False
102.140.226.0,1,4.0,4,4,1,False
102.140.228.0,1,4.0,4,4,1,False
102.140.230.0,1,4.0,4,4,1,False
102.140.234.0,1,4.0,4,4,1,False
102.140.235.0,1,4.0,4,4,1,False
102.140.236.0,1,4.0,4,4,1,False
102.140.237.0,1,4.0,4,4,1,False
102.140.238.0,1,4.0,4,4,1,False
102.140.244.0,1,4.0,4,4,1,False
102.140.246.0,1,4.0,4,4,1,False
102.140.248.0,1,4.0,4,4,1,False
102.140.252.0,1,4.0,4,4,1,False
102.141.200.0,1,4.0,4,4,1,False
102.152.0.0,1,5.0,5,5,1,False
102.154.0.0,1,5.0,5,5,1,False
102.156.128.0,1,6.0,6,6,1,False
102.157.0.0,1,6.0,6,6,1,False
102.157.128.0,1,6.0,6,6,1,False
102.16.101.0,1,4.0,4,4,1,False
102.16.16.0,1,4.0,4,4,1,False
102.16.18.0,1,4.0,4,4,1,False
102.16.25.0,1,4.0,4,4,1,False
102.16.3.0,1,4.0,4,4,1,False
102.16.43.0,1,4.0,4,4,1,False
102.16.63.0,1,4.0,4,4,1,False
102.16.68.0,1,4.0,4,4,1,False
102.16.8.0,1,4.0,4,4,1,False
102.164.44.0,127,7.6299212598425195,10,6,1,False
102.165.128.0,1,4.0,4,4,1,False
102.165.135.0,1,4.0,4,4,1,False
102.165.136.0,1,4.0,4,4,1,False
102.165.144.0,2,5.0,5,5,1,False
102.165.42.0,1,4.0,4,4,1,False
102.176.188.0,170,5.182352941176471,8,4,1,True
102.176.189.0,178,5.382022471910112,10,4,1,True
102.176.242.0,1,5.0,5,5,1,False
102.208.204.0,4,3.0,3,3,1,False
102.208.205.0,2,3.0,3,3,1,False
102.208.232.0,2,5.0,5,5,1,False
102.208.233.0,1,5.0,5,5,1,False
102.210.24.0,2,5.5,6,5,1,False
102.210.244.0,1,5.0,5,5,1,False
102.210.245.0,1,5.0,5,5,1,False
102.210.246.0,1,5.0,5,5,1,False
102.210.247.0,1,5.0,5,5,1,False
102.210.88.0,2,4.5,5,4,1,False
102.211.108.0,2,4.0,4,4,1,False
102.211.109.0,1,4.0,4,4,1,False
102.211.110.0,1,4.0,4,4,1,False
102.211.111.0,1,4.0,4,4,1,False
102.211.196.0,1,7.0,7,7,1,False
102.211.248.0,1,5.0,5,5,1,False
102.211.250.0,1,5.0,5,5,1,False
102.212.116.0,1,5.0,5,5,1,False
102.213.142.0,2,4.5,5,4,1,False
102.213.170.0,2,5.0,5,5,1,False
102.213.175.0,1,5.0,5,5,1,False
102.213.36.0,1,5.0,5,5,1,False
102.214.13.0,1,5.0,5,5,1,False
102.214.140.0,2,4.5,5,4,1,False
102.214.148.0,1,4.0,4,4,1,False
102.214.156.0,2,4.0,4,4,1,False
102.214.157.0,1,4.0,4,4,1,False
102.214.159.0,1,4.0,4,4,1,False
102.214.16.0,1,4.0,4,4,1,False
102.215.160.0,1,5.0,5,5,1,False
